number,eric_id,title,authors,year,source,publication_type,peer_reviewed,abstract,descriptors,url
34,ED218960,"The Test of Spoken English as a Measure of Communicative Ability in English-Medium Instructional Settings. TOEFL Research Reports, 7.",N/A,N/A,N/A,N/A,No,"The Test of Spoken English as a Measure of Communicative Ability in English-Medium Instructional Settings. TOEFL Research Reports, 7.",N/A,https://eric.ed.gov/?id=ED218960
35,EJ457693,Oral English Proficiency Policies for Faculty in U.S. Higher Education.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ457693
36,EJ899303,Beyond Language Barriers: Teaching Self-Efficacy among East Asian International Teaching Assistants,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ899303
37,ED414836,Technology Enhanced Accent Modification (TEAM) for International Teaching Assistants (ITAs).,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED414836
38,EJ481633,"""Authenticity"" in Language Testing: Evaluating Spoken Language Tests for International Teaching Assistants.",N/A,N/A,N/A,N/A,No,"""Authenticity"" in Language Testing: Evaluating Spoken Language Tests for International Teaching Assistants.",N/A,https://eric.ed.gov/?id=EJ481633
39,EJ392299,Topic and Variation in ITA Oral Proficiency: SPEAK and Field-Specific Oral Tests.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ392299
40,ED423783,Undergraduates' Assessment of International Teaching Assistants' Communicative Competence.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED423783
41,ED249843,Foreign Teaching Assistants in U.S. Universities.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED249843
42,EJ427341,International Teaching Assistants Tests and Testing Policies at U.S. Universities.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ427341
43,EJ662915,"Multiple Layers of Meaning in an Oral Proficiency Test: The Complementary Roles of Nonverbal, Paralinguistic, and Verbal Behaviors in Assessment Decisions.",N/A,N/A,N/A,N/A,No,"Multiple Layers of Meaning in an Oral Proficiency Test: The Complementary Roles of Nonverbal, Paralinguistic, and Verbal Behaviors in Assessment Decisions.",N/A,https://eric.ed.gov/?id=EJ662915
44,ED531215,L2 Interactional Competence and Development. Second Language Acquisition,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED531215
45,ED423773,Canadian Initiatives: International Teaching Assistant Professional Development.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED423773
46,ED225373,Improving the Communication Skills of Foreign Teaching Assistants.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED225373
47,ED310641,What Really Affects Undergraduates' Evaluations of Nonnative Teaching Assistant's Teaching?,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED310641
48,ED323792,A Bill of Rights for International Teaching Assistants.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED323792
49,EJ752013,Aiming for Positive Washback: A Case Study of International Teaching Assistants,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ752013
50,ED317067,Curriculum Renewal in Training Programs for International Teaching Assistants.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED317067
51,ED199994,A Language Skills Orientation Program for Foreign Teaching Assistants and Graduate Students.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED199994
52,ED223103,The Construct Validation of Tests of Communicative Competence.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED223103
53,ED367021,The Oh No! Syndrome: Understanding the Negative Reactions of Undergraduates toward Foreign Teaching Assistants.,N/A,N/A,N/A,N/A,No,The Oh No! Syndrome: Understanding the Negative Reactions of Undergraduates toward Foreign Teaching Assistants.,N/A,https://eric.ed.gov/?id=ED367021
54,ED371654,Current Approaches to International TA Preparation in Higher Education: A Collection of Program Descriptions.,N/A,N/A,N/A,N/A,No,Current Approaches to International TA Preparation in Higher Education: A Collection of Program Descriptions.,N/A,https://eric.ed.gov/?id=ED371654
55,ED351731,The SPEAK Test: International Teaching Assistants' and Instructors' Affective Reactions.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED351731
56,EJ489238,Oral English Proficiency Requirements for ITAs in U.S. Colleges and Universities: An Issue in Speech Communication.,N/A,N/A,N/A,N/A,No,Oral English Proficiency Requirements for ITAs in U.S. Colleges and Universities: An Issue in Speech Communication.,N/A,https://eric.ed.gov/?id=EJ489238
57,ED360653,Oral English Proficiency Requirements for ITAs in U.S. Colleges and Universities: An Issue in Speech Communication.,N/A,N/A,N/A,N/A,No,Oral English Proficiency Requirements for ITAs in U.S. Colleges and Universities: An Issue in Speech Communication.,N/A,https://eric.ed.gov/?id=ED360653
58,ED411684,Cultural and Pragmatic Miscues: A Case Study of International Teaching Assistant and Academic Faculty Miscommunication.,N/A,N/A,N/A,N/A,No,Cultural and Pragmatic Miscues: A Case Study of International Teaching Assistant and Academic Faculty Miscommunication.,N/A,https://eric.ed.gov/?id=ED411684
59,EJ491369,Functions and Effects of International Teaching Assistants.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ491369
60,EJ396824,Issues in ITA Training Programs.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ396824
61,EJ448698,Communicative Competence and the Dilemma of International Teaching Assistant Education.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ448698
62,EJ1065017,The Impact of Content and Context on International Teaching Assistants' Willingness to Communicate in the Language Classroom,N/A,N/A,N/A,N/A,No,The Impact of Content and Context on International Teaching Assistants' Willingness to Communicate in the Language Classroom,N/A,https://eric.ed.gov/?id=EJ1065017
63,ED272045,A Survey of Policy Changes: Foreign Students in Public Institutions of Higher Education from 1983 to 1985. IEE Research Report No. 8.,N/A,1983,N/A,N/A,No,A Survey of Policy Changes: Foreign Students in Public Institutions of Higher Education from 1983 to 1985. IEE Research Report No. 8.,N/A,https://eric.ed.gov/?id=ED272045
64,EJ416671,Predicting Success for International Teaching Assistant in a U.S. University.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ416671
65,ED411683,An Investigation of Interactional Authenticity in International Teaching Assistant Interview Testing.,N/A,N/A,N/A,N/A,No,An Investigation of Interactional Authenticity in International Teaching Assistant Interview Testing.,N/A,https://eric.ed.gov/?id=ED411683
66,EJ468896,Enlisting the Help of U.S. Undergraduates in Evaluating International Teaching Assistants.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ468896
67,EJ382851,A University-wide Assessment and Training Program for International Teaching Assistants.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ382851
68,ED358812,Crossing Pedagogical Oceans: International Teaching Assistants in U.S. Undergraduate Education. ERIC Digest.,N/A,N/A,Crossing Pedagogical Oceans: International Teaching Assistants in U.S. Undergraduate Education. ERIC Digest.,N/A,No,Crossing Pedagogical Oceans: International Teaching Assistants in U.S. Undergraduate Education. ERIC Digest.,N/A,https://eric.ed.gov/?id=ED358812
69,EJ392298,Face-to-Face with English Speakers: An Advanced Training Class for International Teaching Assistants.,N/A,N/A,N/A,N/A,No,Face-to-Face with English Speakers: An Advanced Training Class for International Teaching Assistants.,N/A,https://eric.ed.gov/?id=EJ392298
70,EJ799723,Towards Defining a Valid Assessment Criterion of Pronunciation Proficiency in Non-Native English-Speaking Graduate Students,N/A,N/A,N/A,N/A,No,Towards Defining a Valid Assessment Criterion of Pronunciation Proficiency in Non-Native English-Speaking Graduate Students,N/A,https://eric.ed.gov/?id=EJ799723
71,EJ358175,The Foreign TA Problem from an Acquisition-Theoretic Point of View.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ358175
72,ED366187,Content-Based Language Instruction in Second and Foreign Languages.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED366187
73,ED274166,"On TESOL '84. A Brave New World for TESOL. Selected Papers from the Annual Convention of the Teachers of English to Speakers of Other Languages (18th, Houston, Texas, March 6-11, 1984).",N/A,1984,N/A,N/A,No,"On TESOL '84. A Brave New World for TESOL. Selected Papers from the Annual Convention of the Teachers of English to Speakers of Other Languages (18th, Houston, Texas, March 6-11, 1984).",N/A,https://eric.ed.gov/?id=ED274166
74,ED521808,The Intelligibility of Chinese-Accented English to International and American Students at a U.S. University,N/A,N/A,The Intelligibility of Chinese-Accented English to International and American Students at a U.S. University,N/A,No,The Intelligibility of Chinese-Accented English to International and American Students at a U.S. University,N/A,https://eric.ed.gov/?id=ED521808
75,ED332502,Evaluating ITA Preparation Programs: Intensive versus Concurrent.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED332502
76,ED208643,"On TESOL '80. Building Bridges: Research and Practice in Teaching English as a Second Language. Selected papers from the Annual Convention of Teachers of English to Speakers of Other Languages (14th, San Francisco, California, March 4-9, 1980).",N/A,1980,N/A,N/A,No,"On TESOL '80. Building Bridges: Research and Practice in Teaching English as a Second Language. Selected papers from the Annual Convention of Teachers of English to Speakers of Other Languages (14th, San Francisco, California, March 4-9, 1980).",N/A,https://eric.ed.gov/?id=ED208643
77,EJ443057,The Language of Teaching Mathematics: Implications for Training ITAs.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ443057
78,EJ392296,The Life and Times of ITA Programs.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ392296
79,EJ464135,The Effectiveness of Computer-Assisted Pronunciation Training.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ464135
80,EJ616495,"Something Old, Something New, Something Borrowed, Something ....: Piloting a Computer Mediated Version of the Michigan Listening Comprehension Test.",N/A,N/A,N/A,N/A,No,"Something Old, Something New, Something Borrowed, Something ....: Piloting a Computer Mediated Version of the Michigan Listening Comprehension Test.",N/A,https://eric.ed.gov/?id=EJ616495
81,ED358810,"Crossing Pedagogical Oceans: International Teaching Assistants in U.S. Undergraduate Education. ASHE-ERIC Higher Education Report No. 8, 1992.",N/A,1992,"Crossing Pedagogical Oceans: International Teaching Assistants in U.S. Undergraduate Education. ASHE-ERIC Higher Education Report No. 8, 1992.",N/A,No,"Crossing Pedagogical Oceans: International Teaching Assistants in U.S. Undergraduate Education. ASHE-ERIC Higher Education Report No. 8, 1992.",N/A,https://eric.ed.gov/?id=ED358810
82,ED332635,Preparing the Professoriate of Tomorrow to Teach. Selected Readings in TA Training.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED332635
83,EJ876381,Validating TOEFL[R] iBT Speaking and Setting Score Requirements for ITA Screening,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ876381
84,ED296593,State-Mandated English Proficiency Requirements for Classroom Instructors.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED296593
85,EJ485650,Foreigners in Our Midst: Resources for Internationalizing the Sociology Major.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ485650
86,ED365138,"A New Decade of Language Testing Research: Selected Papers from the Annual Language Testing Research Colloquium (12th, San Francisco, California, March 1990).",N/A,1990,N/A,N/A,No,"A New Decade of Language Testing Research: Selected Papers from the Annual Language Testing Research Colloquium (12th, San Francisco, California, March 1990).",N/A,https://eric.ed.gov/?id=ED365138
